category	n	rep	scalar_first	scalar_ms	sgemm_ms	max_abs_diff
ffn_expand	16	4	1	74.872	0.790	1.71661377e-05
ffn_expand	16	5	0	73.679	0.705	1.71661377e-05
ffn_expand	16	6	1	67.947	0.820	1.71661377e-05
ffn_expand	16	7	0	76.920	0.756	1.71661377e-05
ffn_expand	16	8	1	73.904	1.351	1.71661377e-05
ffn_expand	16	9	0	74.345	1.065	1.71661377e-05
ffn_expand	32	0	1	150.431	1.250	2.28881836e-05
ffn_expand	32	1	0	151.427	1.203	2.28881836e-05
ffn_expand	32	2	1	160.491	1.668	2.28881836e-05
ffn_expand	32	3	0	180.416	1.602	2.28881836e-05
ffn_expand	32	4	1	149.922	1.287	2.28881836e-05
ffn_expand	32	5	0	147.443	1.171	2.28881836e-05
ffn_expand	32	6	1	137.384	1.283	2.28881836e-05
ffn_expand	32	7	0	150.008	1.271	2.28881836e-05
ffn_expand	32	8	1	151.182	1.777	2.28881836e-05
ffn_expand	32	9	0	157.981	1.537	2.28881836e-05
ffn_expand	64	0	1	308.408	2.104	2.28881836e-05
ffn_expand	64	1	0	285.221	2.115	2.28881836e-05
ffn_expand	64	2	1	304.170	2.216	2.28881836e-05
ffn_expand	64	3	0	304.200	2.540	2.28881836e-05
ffn_expand	64	4	1	296.100	2.152	2.28881836e-05
ffn_expand	64	5	0	301.244	2.226	2.28881836e-05
ffn_expand	64	6	1	301.345	2.305	2.28881836e-05
ffn_expand	64	7	0	286.278	2.272	2.28881836e-05
ffn_expand	64	8	1	282.832	2.178	2.28881836e-05
ffn_expand	64	9	0	288.786	2.238	2.28881836e-05
ffn_proj	4	0	1	9.232	0.526	0.000259399414
ffn_proj	4	1	0	9.386	0.408	0.000259399414
ffn_proj	4	2	1	9.621	0.534	0.000259399414
ffn_proj	4	3	0	9.118	0.425	0.000259399414
ffn_proj	4	4	1	9.485	0.471	0.000259399414
ffn_proj	4	5	0	8.971	0.382	0.000259399414
ffn_proj	4	6	1	8.779	0.326	0.000259399414
ffn_proj	4	7	0	8.986	0.308	0.000259399414
ffn_proj	4	8	1	8.903	0.307	0.000259399414
ffn_proj	4	9	0	8.923	0.299	0.000259399414
ffn_proj	16	0	1	36.681	0.677	0.000259399414
ffn_proj	16	1	0	36.409	0.674	0.000259399414
ffn_proj	16	2	1	35.641	0.660	0.000259399414
ffn_proj	16	3	0	36.028	0.636	0.000259399414
ffn_proj	16	4	1	35.773	0.713	0.000259399414
ffn_proj	16	5	0	35.521	0.691	0.000259399414
ffn_proj	16	6	1	35.514	0.707	0.000259399414
ffn_proj	16	7	0	36.507	0.650	0.000259399414
ffn_proj	16	8	1	35.596	0.745	0.000259399414
ffn_proj	16	9	0	35.466	0.653	0.000259399414
ffn_proj	32	0	1	72.143	1.260	0.000259399414
ffn_proj	32	1	0	75.073	1.137	0.000259399414
ffn_proj	32	2	1	71.906	1.633	0.000259399414
ffn_proj	32	3	0	72.856	1.656	0.000259399414
ffn_proj	32	4	1	71.901	1.184	0.000259399414
ffn_proj	32	5	0	71.762	1.118	0.000259399414
ffn_proj	32	6	1	71.720	1.189	0.000259399414
ffn_proj	32	7	0	71.807	1.267	0.000259399414
ffn_proj	32	8	1	71.671	1.260	0.000259399414
ffn_proj	32	9	0	72.494	1.097	0.000259399414
ffn_proj	64	0	1	145.149	2.749	0.000259399414
ffn_proj	64	1	0	143.752	2.400	0.000259399414
ffn_proj	64	2	1	144.024	2.670	0.000259399414
ffn_proj	64	3	0	143.148	2.248	0.000259399414
ffn_proj	64	4	1	146.428	4.050	0.000259399414
ffn_proj	64	5	0	151.507	3.679	0.000259399414
ffn_proj	64	6	1	143.932	2.107	0.000259399414
ffn_proj	64	7	0	145.910	2.050	0.000259399414
ffn_proj	64	8	1	143.512	2.068	0.000259399414
ffn_proj	64	9	0	143.377	2.058	0.000259399414
lm_head	1	0	1	34.846	5.843	7.62939453e-05
lm_head	1	1	0	36.420	5.620	7.62939453e-05
lm_head	1	2	1	36.690	5.732	7.62939453e-05
lm_head	1	3	0	34.875	5.728	7.62939453e-05
lm_head	1	4	1	34.828	5.394	7.62939453e-05
lm_head	1	5	0	35.230	5.412	7.62939453e-05
lm_head	1	6	1	34.782	5.555	7.62939453e-05
lm_head	1	7	0	35.014	5.470	7.62939453e-05
lm_head	1	8	1	34.752	5.514	7.62939453e-05
lm_head	1	9	0	35.903	5.466	7.62939453e-05
