update,epoch,sample,state_max_abs,state_max_ulp,logit_abs,first_numerical,material_divergence
26000,519,49,0.192473471,2052003697,0.150112569,0,1
26250,524,49,0.311518431,2061918956,0.5107463,0,1
26500,529,49,0.280316353,2044759757,0.568083882,0,1
26750,534,49,0.230076224,2043331381,0.056210041,0,1
27000,539,49,0.215923637,2046964260,0.084602952,0,1
27250,544,49,0.196115732,2063469823,0.119700909,0,1
27500,549,49,0.238808274,2061542019,0.165763855,0,1
27750,554,49,0.271904469,2053949173,0.228803158,0,1
28000,559,49,0.239602208,2036581504,1.81137896,0,1
28250,564,49,0.282726049,2050417329,0.379024506,0,1
28500,569,49,0.244998813,2064865018,1.03504801,0,1
28750,574,49,0.271319985,2072285832,0.835960507,0,1
29000,579,49,0.431740284,2078255169,0.42013061,0,1
29250,584,49,0.331261516,2038002255,1.16850376,0,1
29500,589,49,0.245290875,2046627897,0.0475324392,0,1
29750,594,49,0.202599525,2059829833,0.380321026,0,1
30000,599,49,0.268952966,2066349167,0.401244879,0,1
30250,604,49,0.231335044,2063587220,0.369557858,0,1
30500,609,49,0.213170648,2036272345,0.137647569,0,1
30750,614,49,0.180594325,2045720099,1.88843679,0,1
31000,619,49,0.404389054,2080818163,3.40358067,0,1
31250,624,49,0.370687693,2077863782,4.17162991,0,1
31500,629,49,0.432198167,2088445485,0.631551147,0,1
31750,634,49,0.415769637,2082792097,0.41940701,0,1
32000,639,49,0.472083956,2063790695,1.10232687,0,1
32250,644,49,0.418841302,2071263300,0.00158655643,0,1
32500,649,49,0.369506747,2077701655,0.055331707,0,1
32750,654,49,0.332254082,2071532222,0.434260845,0,1
33000,659,49,0.314160228,2070367919,0.333399415,0,1
33250,664,49,0.40245527,2090605884,6.34995508,0,1
33500,669,49,0.240384817,2071929009,0.660356641,0,1
33750,674,49,0.270630896,2068522021,0.46622467,0,1
34000,679,49,0.364133358,2066013920,0.064303875,0,1
34250,684,49,0.363462985,2066761128,2.74944115,0,1
34500,689,49,0.46117723,2081053301,4.68019581,0,1
34750,694,49,0.403750718,2082931445,0.617586136,0,1
35000,699,49,0.39601934,2085041504,7.44525862,0,1
35250,704,49,0.422894388,2087120473,1.06992388,0,1
35500,709,49,0.431379795,2074285118,3.8827281,0,1
35750,714,49,0.445207894,2077397542,0.192769527,0,1
36000,719,49,0.450402081,2078507971,0.0880668163,0,1
36250,724,49,0.545923114,2085859193,3.13041019,0,1
36500,729,49,0.594456851,2076951363,2.07055259,0,1
36750,734,49,0.561007082,2081133086,0.933471918,0,1
37000,739,49,0.584633708,2084490287,1.91448593,0,1
37250,744,49,0.601006567,2086517671,0.519518971,0,1
37500,749,49,0.666234016,2087974439,0.253654122,0,1
37750,754,49,0.64283067,2088643092,6.43929625,0,1
38000,759,49,0.682752609,2089838369,6.20489693,0,1
38250,764,49,0.674282074,2096584593,1.44898808,0,1
38500,769,49,0.670463681,2099009376,3.86810684,0,1
38750,774,49,0.647586346,2096362637,3.37250042,0,1
39000,779,49,0.634000123,2093210052,1.27145696,0,1
39250,784,49,0.605548859,2086952893,0.00850439072,0,1
39500,789,49,0.800884724,2105692313,0.00707674026,0,1
39750,794,49,0.848112702,2107789151,2.91896343,0,1
40000,799,49,0.803448379,2106134751,1.07413745,0,1
40250,804,49,0.784892678,2105099909,7.99241495,0,1
40500,809,49,0.780723691,2105097708,6.17404604,0,1
40750,814,49,0.764144063,2104326915,2.51151562,0,1
41000,819,49,0.756888986,2104235842,2.65471983,0,1
41250,824,49,0.738505125,2103487105,1.72532141,0,1
41500,829,49,0.719295979,2102812572,4.90969849,0,1
41750,834,49,0.703710556,2102499451,1.12863231,0,1
42000,839,49,0.683426142,2101810942,2.6150701,0,1
42250,844,49,0.65714699,2100885544,1.60824931,0,1
42500,849,49,0.628108025,2100148065,3.52282,0,1
42750,854,49,0.578711092,2098264463,4.08000374,0,1
43000,859,49,0.595870733,2096353111,0.960861444,0,1
43250,864,49,0.598079085,2096487494,0.134304404,0,1
43500,869,49,0.60238409,2096809999,0.597807169,0,1
43750,874,49,0.579730928,2094806252,0.121310234,0,1
44000,879,49,0.705558956,2096025255,1.1551466,0,1
44250,884,49,0.623345196,2098351437,1.35351801,0,1
44500,889,49,0.604857266,2097132214,1.53952408,0,1
44750,894,49,0.61872381,2096361377,0.791605711,0,1
45000,899,49,0.598376513,2092733759,1.47367668,0,1
45250,904,49,0.59542942,2091299221,1.56648016,0,1
45500,909,49,0.600344658,2090791720,0.25030148,0,1
45750,914,49,0.62146616,2090078049,0.676715136,0,1
46000,919,49,0.601373196,2089545893,0.285747886,0,1
46250,924,49,0.867514789,2089689207,2.32221365,0,1
46500,929,49,0.80722785,2088691532,0.321033955,0,1
46750,934,49,0.799529791,2088060346,0.0424500704,0,1
47000,939,49,0.7688694,2087958365,4.74728441,0,1
47250,944,49,0.767684937,2087435772,0.196478009,0,1
47500,949,49,0.760981798,2086705026,1.43808818,0,1
47750,954,49,0.750589848,2085432662,0.297077894,0,1
48000,959,49,0.768377304,2086217781,8.74975109,0,1
48250,964,49,0.832031488,2082766633,2.98730755,0,1
48500,969,49,0.792352676,2083361672,0.10914433,0,1
48750,974,49,0.778801441,2083593610,0.0587773323,0,1
49000,979,49,0.780374765,2083696832,0.0922473669,0,1
49250,984,49,0.774427176,2084187757,0.523163795,0,1
49500,989,49,0.765382051,2084933420,0.167401075,0,1
49750,994,49,0.762677193,2084879924,1.59347773,0,1
50000,999,49,0.752125502,2085596477,0.198741913,0,1
50250,1004,49,0.743307829,2085942773,1.2002039,0,1
50500,1009,49,0.738894939,2086152438,0.782067776,0,1
50750,1014,49,0.729050159,2086730969,0.872977734,0,1
51000,1019,49,0.723681688,2087113530,0.911952972,0,1
51250,1024,49,0.718963146,2087425936,1.3670516,0,1
51500,1029,49,0.714527607,2087813115,0.927374363,0,1
51750,1034,49,0.627521515,2087844150,0.292289972,0,1
52000,1039,49,0.625203729,2085676247,0.493415833,0,1
52250,1044,49,0.619709551,2086502854,3.59811878,0,1
52500,1049,49,0.613478839,2087628427,0.545017719,0,1
52750,1054,49,0.616719842,2087908986,0.552989483,0,1
53000,1059,49,0.610213339,2088616004,0.128266335,0,1
53250,1064,49,0.605412722,2089141660,0.0227695704,0,1
53500,1069,49,0.600643873,2089507935,1.23025799,0,1
53750,1074,49,0.597064376,2089929711,0.0749189854,0,1
54000,1079,49,0.60075587,2089939855,0.879745007,0,1
54250,1084,49,0.602336049,2091661994,1.32774878,0,1
54500,1089,49,0.604243934,2092409596,0.0286861658,0,1
54750,1094,49,0.604169548,2093005199,0.0356886387,0,1
55000,1099,49,0.603559971,2093489288,0.0268980265,0,1
55250,1104,49,0.998933792,2094908039,12.321907,0,1
55500,1109,49,1.80317581,2119972277,0.162673116,0,1
55750,1114,49,1.92619836,2124119503,0.626841545,0,1
56000,1119,49,1.88909078,2122612624,4.47692204,0,1
56250,1124,49,1.87656784,2121945880,5.83238363,0,1
56500,1129,49,1.6514945,2106380889,4.78503275,0,1
56750,1134,49,1.47906208,2093494678,2.46139956,0,1
57000,1139,49,1.36054564,2093546409,0.0527403355,0,1
57250,1144,49,1.27462626,2094078443,2.97408676,0,1
57500,1149,49,1.20902801,2094380865,3.18793821,0,1
57750,1154,49,1.14817452,2094847510,2.88730407,0,1
58000,1159,49,1.10100889,2094975761,0.407209396,0,1
58250,1164,49,1.05451131,2095608444,0.480197906,0,1
58500,1169,49,1.01323366,2095860962,3.29482388,0,1
58750,1174,49,0.978368044,2096216031,0.345219374,0,1
59000,1179,49,0.940834045,2096932212,1.56486034,0,1
59250,1184,49,0.908753633,2097405182,1.44410801,0,1
59500,1189,49,0.881118774,2097658047,1.7203393,0,1
59750,1194,49,0.944405794,2098145837,1.81736135,0,1
60000,1199,49,1.2628665,2094264382,5.42904663,0,1
60250,1204,49,1.23940396,2095415988,6.38457918,0,1
60500,1209,49,1.17030573,2096352419,4.86000824,0,1
60750,1214,49,1.16653514,2095825599,4.7052083,0,1
61000,1219,49,1.14103007,2095950711,3.97629261,0,1
61250,1224,49,1.11705375,2096894360,3.51005268,0,1
61500,1229,49,1.08593154,2097787089,4.24267769,0,1
61750,1234,49,1.05005503,2098571786,0.421234608,0,1
62000,1239,49,1.03629088,2100500101,0.851739883,0,1
62250,1244,49,1.01705289,2100785681,6.779387,0,1
62500,1249,49,0.979522467,2101209366,3.5598402,0,1
62750,1254,49,0.975537062,2101401354,4.60512686,0,1
63000,1259,49,1.05355525,2104638639,2.36399698,0,1
63250,1264,49,1.08997893,2104913437,4.53065968,0,1
63500,1269,49,1.0632925,2105060380,5.15648174,0,1
63750,1274,49,1.04784036,2105248380,5.15955257,0,1
64000,1279,49,1.00655365,2106019261,10.7937059,0,1
64250,1284,49,0.990549564,2106230577,4.71835375,0,1
64500,1289,49,0.95722127,2106790713,2.09834099,0,1
64750,1294,49,0.953203201,2107330208,3.86017776,0,1
65000,1299,49,0.922664165,2107764144,4.39754725,0,1
65250,1304,49,0.877954483,2108211839,1.08311892,0,1
65500,1309,49,0.885826826,2109038748,0.152016163,0,1
65750,1314,49,0.875836968,2109762998,4.58650589,0,1
66000,1319,49,0.910066962,2110911564,0.91955018,0,1
66250,1324,49,0.931836963,2111314593,3.1703577,0,1
66500,1329,49,0.953597426,2111688121,0.411084652,0,1
66750,1334,49,0.976611614,2112081425,1.15333462,0,1
67000,1339,49,0.990739882,2112319353,3.14878416,0,1
67250,1344,49,1.04280674,2112587752,1.50190878,0,1
67500,1349,49,1.07503676,2112717418,1.34541297,0,1
67750,1354,49,1.10078502,2112950733,3.40467238,0,1
68000,1359,49,1.14575481,2113087485,3.88367748,0,1
68250,1364,49,1.16333163,2113251765,0.18417716,0,1
68500,1369,49,1.17291653,2113464596,3.25500441,0,1
68750,1374,49,1.21580315,2113616424,3.103477,0,1
69000,1379,49,1.24713778,2113715526,0.935076475,0,1
69250,1384,49,1.29390574,2113962437,2.43093443,0,1
69500,1389,49,1.3281908,2114357730,0.159730911,0,1
69750,1394,49,1.35042918,2113983874,0.174841642,0,1
70000,1399,49,1.37640619,2114058608,2.75182223,0,1
70250,1404,49,1.40585208,2114068185,0.50865674,0,1
70500,1409,49,1.44758844,2114277641,0.0482263565,0,1
70750,1414,49,1.47013664,2114444482,4.36846733,0,1
71000,1419,49,1.49707055,2114451834,2.51112556,0,1
71250,1424,49,1.39998591,2114544342,11.7595968,0,1
71500,1429,49,1.42581034,2114052225,5.02845573,0,1
71750,1434,49,1.45519352,2114306561,0.70964551,0,1
72000,1439,49,1.50242364,2114361507,1.83882904,0,1
72250,1444,49,1.54050374,2114570497,2.46509933,0,1
72500,1449,49,1.57367849,2114656190,5.59089756,0,1
72750,1454,49,1.60217464,2114891123,0.369337559,0,1
73000,1459,49,1.63675904,2115045336,0.897769451,0,1
73250,1464,49,1.67059481,2115209409,1.66704226,0,1
73500,1469,49,1.69943297,2115460119,0.167412758,0,1
73750,1474,49,1.72339535,2115452294,0.957671642,0,1
74000,1479,49,1.67439604,2116455886,2.64327145,0,1
74250,1484,49,1.71266329,2115946049,2.20622063,0,1
74500,1489,49,1.71959722,2116512376,2.73996401,0,1
74750,1494,49,1.74769282,2116522981,1.30037642,0,1
75000,1499,49,1.77018261,2116559361,0.0769872665,0,1
75250,1504,49,1.79724526,2116838040,1.46251202,0,1
75500,1509,49,1.8161993,2116810066,1.74648952,0,1
75750,1514,49,1.82953513,2117174906,1.21734095,0,1
76000,1519,49,1.85693276,2117216881,1.73319817,0,1
76250,1524,49,1.88015842,2117373425,1.15173316,0,1
76500,1529,49,1.90682125,2117429277,1.73413706,0,1
76750,1534,49,1.93072772,2117497151,2.19473696,0,1
77000,1539,49,1.9531827,2117541544,1.49747324,0,1
77250,1544,49,1.97179782,2117732287,5.68315983,0,1
77500,1549,49,1.98901677,2117679219,1.9202261,0,1
77750,1554,49,2.00952554,2117769307,1.50453949,0,1
78000,1559,49,2.03057241,2117820201,0.224215269,0,1
78250,1564,49,2.05119777,2117790105,1.25897408,0,1
78500,1569,49,2.06971717,2117832678,1.74812269,0,1
78750,1574,49,2.08650303,2117795191,0.373084068,0,1
79000,1579,49,2.09955359,2117890374,0.150011063,0,1
79250,1584,49,2.10189295,2118005226,0.196508646,0,1
79500,1589,49,2.12470126,2118025210,1.90452337,0,1
79750,1594,49,2.13955116,2118006627,1.84559345,0,1
80000,1599,49,2.15647268,2117952515,0.898129225,0,1
80250,1604,49,2.17224646,2117992422,2.1494236,0,1
80500,1609,49,2.18988156,2117944509,0.433361292,0,1
80750,1614,49,2.20029688,2118006034,0.439922333,0,1
81000,1619,49,2.21606112,2118064843,0.967734575,0,1
81250,1624,49,2.23450136,2117995865,0.873476982,0,1
81500,1629,49,2.04266596,2118115409,13.0986042,0,1
81750,1634,49,2.04738283,2117631948,2.49850988,0,1
82000,1639,49,2.0873754,2117617501,1.87228489,0,1
82250,1644,49,2.12463927,2117737547,1.98476267,0,1
82500,1649,49,2.15746236,2117697659,2.26684904,0,1
82750,1654,49,2.17988777,2118063083,5.5804491,0,1
83000,1659,49,2.20574331,2117801086,1.77891016,0,1
83250,1664,49,2.22405767,2118002274,0.43688035,0,1
83500,1669,49,2.24907351,2117981606,6.08349609,0,1
83750,1674,49,2.26599622,2117826815,1.99729252,0,1
84000,1679,49,2.28417611,2117998189,1.3831501,0,1
84250,1684,49,2.30154371,2117692905,0.256186962,0,1
